PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Sex_label,Pclass_ordinal,Title,FamilySize,IsAlone,FarePerPerson,AgeBin,Deck,Pclass_Sex,NameLength,FamilyId
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,1,2.0,Mr,7,0,4.4678571428571425,Adult,Unknown,3_male,27,347082
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,0,2.0,Miss,1,1,7.8542,Teen,Unknown,3_female,36,350406
16,1,2,"Hewlett, Mrs. (Mary D Kingcome)",female,55.0,0,0,248706,16.0,,S,0,1.0,Mrs,1,1,16.0,Adult,Unknown,2_female,31,248706
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,1,2.0,Master,6,0,4.854166666666667,Child,Unknown,3_male,20,382652
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,1,1.0,Mr,1,1,13.0,,Unknown,2_male,28,244373
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,0,2.0,Mrs,2,0,9.0,YoungAdult,Unknown,3_female,55,345763
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,0,2.0,Mrs,1,1,7.225,,Unknown,3_female,23,2649
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,1,1.0,Mr,1,1,26.0,YoungAdult,Unknown,2_male,20,239865
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,1,1.0,Mr,1,1,13.0,YoungAdult,D,2_male,21,248698
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,0,2.0,Miss,1,1,8.0292,Teen,Unknown,3_female,27,330923
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,1,0.0,Mr,1,1,35.5,YoungAdult,A,1_male,28,113788
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,0,2.0,Miss,5,0,4.215,Child,Unknown,3_female,29,349909
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,0,2.0,Mrs,7,0,4.483928571428572,Adult,Unknown,3_female,57,347077
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,1,2.0,Mr,1,1,7.225,,Unknown,3_male,23,2631
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,66.3,C23 C25 C27,S,1,0.0,Mr,6,0,11.049999999999999,YoungAdult,C,1_male,30,19950
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,0,2.0,Miss,1,1,7.8792,,Unknown,3_female,29,330959
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,1,2.0,Mr,1,1,7.8958,,Unknown,3_male,19,349216
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,,C,1,0.0,Other,1,1,27.7208,Adult,Unknown,1_male,24,PC 17601
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,66.3,B78,C,0,0.0,Mrs,2,0,33.15,,B,1_female,46,PC 17569
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,0,2.0,Miss,1,1,7.75,,Unknown,3_female,24,335677
34,0,2,"Wheadon, Mr. Edward H",male,65.0,0,0,C.A. 24579,10.5,,S,1,1.0,Mr,1,1,10.5,Senior,Unknown,2_male,21,C.A. 24579
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,66.3,,C,1,0.0,Mr,2,0,33.15,YoungAdult,Unknown,1_male,23,PC 17604
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,1,0.0,Mr,2,0,26.0,Adult,Unknown,1_male,30,113789
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,1,2.0,Mr,1,1,7.2292,,Unknown,3_male,16,2677
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,24,A./5. 2152
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,,S,0,2.0,Miss,3,0,6.0,Teen,Unknown,3_female,34,345764
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,,C,0,2.0,Miss,2,0,5.62085,Teen,Unknown,3_female,27,2651
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S,0,2.0,Mrs,2,0,4.7375,Adult,Unknown,3_female,46,7546
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,,S,0,1.0,Mrs,2,0,10.5,YoungAdult,Unknown,2_female,56,11668
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,1,2.0,Mr,1,1,7.8958,,Unknown,3_male,19,349253
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,,C,0,1.0,Miss,4,0,10.3948,Child,Unknown,2_female,40,SC/Paris 2123
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,,Q,0,2.0,Miss,1,1,7.8792,YoungAdult,Unknown,3_female,29,330958
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,1,2.0,Mr,1,1,8.05,,Unknown,3_male,24,S.C./A.4. 23567
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,1,2.0,Mr,2,0,7.75,,Unknown,3_male,17,370371
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,0,2.0,Miss,1,1,7.75,,Unknown,3_female,25,14311
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,1,2.0,Mr,3,0,7.226400000000001,,Unknown,3_male,19,2662
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,0,2.0,Mrs,2,0,8.9,Teen,Unknown,3_female,45,349237
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S,1,2.0,Master,6,0,6.614583333333333,Child,Unknown,3_male,26,3101295
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,S,1,2.0,Mr,1,1,7.8,YoungAdult,Unknown,3_male,28,A/4. 39886
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,66.3,D33,C,0,0.0,Mrs,2,0,33.15,Adult,D,1_female,40,PC 17572
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,,S,0,1.0,Mrs,2,0,13.0,YoungAdult,Unknown,2_female,50,2926
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C,1,0.0,Mr,2,0,30.9896,Senior,B,1_male,30,113509
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,1,0.0,Mr,1,1,35.5,,C,1_male,17,19947
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,,S,0,1.0,Miss,1,1,10.5,YoungAdult,Unknown,2_female,17,C.A. 31026
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,1,2.0,Mr,1,1,7.2292,YoungAdult,Unknown,3_male,19,2697
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,,S,0,1.0,Miss,4,0,6.9375,Child,Unknown,2_female,28,C.A. 34651
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,,S,1,2.0,Master,8,0,5.8625,Child,Unknown,3_male,34,CA 2144
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,,C,1,2.0,Mr,1,1,7.2292,YoungAdult,Unknown,3_male,21,2669
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,66.3,C83,S,1,0.0,Mr,2,0,33.15,Adult,C,1_male,27,36973
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,1,2.0,Master,6,0,4.6499999999999995,Child,Unknown,3_male,21,347088
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,1,0.0,Mr,1,1,27.7208,,Unknown,1_male,21,PC 17605
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,1,2.0,Master,3,0,5.081933333333333,,Unknown,3_male,24,2661
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,0,1.0,Mrs,1,1,10.5,YoungAdult,F,2_female,28,C.A. 29395
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,S,1,2.0,Mr,1,1,8.1583,YoungAdult,Unknown,3_male,24,S.P. 3464
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,,S,0,2.0,Miss,7,0,1.1321428571428571,Teen,Unknown,3_female,31,3101281
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,S,1,2.0,Mr,3,0,2.8874999999999997,YoungAdult,Unknown,3_male,17,315151
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,S,1,1.0,Mr,1,1,10.5,YoungAdult,Unknown,2_male,26,C.A. 33111
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,0,2.0,Miss,8,0,5.8625,Teen,Unknown,3_female,26,CA 2144
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,66.3,,S,1,1.0,Mr,1,1,66.3,YoungAdult,Unknown,2_male,20,S.O.C. 14879
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,,C,1,2.0,Mr,2,0,7.2271,YoungAdult,Unknown,3_male,27,2680
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,1,2.0,Mr,1,1,56.4958,YoungAdult,Unknown,3_male,13,1601
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S,1,2.0,Mr,1,1,7.65,YoungAdult,F,3_male,23,348123
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,1,2.0,Mr,1,1,7.8958,,Unknown,3_male,17,349208
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,1,2.0,Mr,1,1,8.05,,Unknown,3_male,24,374746
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,1,1.0,Master,3,0,9.666666666666666,Child,Unknown,2_male,29,248738
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,0,2.0,Miss,1,1,12.475,YoungAdult,Unknown,3_female,24,364516
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,S,1,2.0,Mr,1,1,9.0,YoungAdult,Unknown,3_male,20,345767
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,1,2.0,Mr,1,1,9.5,YoungAdult,Unknown,3_male,27,345779
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,0,2.0,Miss,1,1,7.7875,,Unknown,3_female,30,330932
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,1,0.0,Mr,1,1,47.1,YoungAdult,Unknown,1_male,23,113059
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,0,1.0,Miss,1,1,10.5,Teen,Unknown,2_female,19,SO/C 14885
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,,S,0,2.0,Mrs,4,0,3.9625,YoungAdult,Unknown,3_female,55,3101278
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,1,2.0,Mr,5,0,6.875,Teen,Unknown,3_male,22,W./C. 6608
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,1,2.0,Mr,1,1,8.05,,Unknown,3_male,29,SOTON/OQ 392086
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,66.3,C23 C25 C27,S,0,0.0,Miss,6,0,11.049999999999999,YoungAdult,C,1_female,26,19950
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,22,343275
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,20,343276
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S,1,2.0,Mr,1,1,7.8542,YoungAdult,Unknown,3_male,26,347466
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S,1,0.0,Mr,2,0,30.5875,Adult,E,1_male,27,W.E.P. 5734
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,S,1,2.0,Mr,4,0,5.14375,YoungAdult,Unknown,3_male,23,C.A. 2315
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S,1,2.0,Mr,1,1,7.25,Adult,Unknown,3_male,17,364500
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,1,2.0,Mr,1,1,8.05,,Unknown,3_male,27,374910
97,0,1,"Goldschmidt, Mr. George B",male,65.0,0,0,PC 17754,34.6542,A5,C,1,0.0,Mr,1,1,34.6542,Senior,A,1_male,25,PC 17754
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,1,0.0,Mr,2,0,31.67915,YoungAdult,D,1_male,31,PC 17759
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S,0,1.0,Mrs,2,0,11.5,YoungAdult,Unknown,2_female,36,231919
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,S,1,1.0,Mr,2,0,13.0,YoungAdult,Unknown,2_male,17,244367
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,0,2.0,Miss,1,1,7.8958,YoungAdult,Unknown,3_female,23,349245
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,1,2.0,Mr,1,1,7.8958,,Unknown,3_male,32,349215
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,66.3,D26,S,1,0.0,Mr,2,0,33.15,YoungAdult,D,1_male,25,35281
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S,1,2.0,Mr,1,1,8.6542,YoungAdult,Unknown,3_male,26,7540
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,1,2.0,Mr,3,0,2.6416666666666666,Adult,Unknown,3_male,30,3101276
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,S,1,2.0,Mr,1,1,7.8958,YoungAdult,Unknown,3_male,21,349207
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,,S,0,2.0,Miss,1,1,7.65,YoungAdult,Unknown,3_female,32,343120
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,1,2.0,Mr,1,1,7.775,,Unknown,3_male,22,312991
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,S,1,2.0,Mr,1,1,7.8958,Adult,Unknown,3_male,15,349249
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,0,2.0,Miss,2,0,12.075,,Unknown,3_female,19,371110
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,1,0.0,Mr,1,1,52.0,Adult,C,1_male,30,110465
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,0,2.0,Miss,2,0,7.2271,Teen,Unknown,3_female,20,2665
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,22,324669
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S,0,2.0,Miss,2,0,4.9125,YoungAdult,Unknown,3_female,23,4136
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C,0,2.0,Miss,1,1,14.4583,Teen,Unknown,3_female,21,2627
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,,S,1,2.0,Mr,1,1,7.925,YoungAdult,Unknown,3_male,21,STON/O 2. 3101294
117,0,3,"Connors, Mr. Patrick",male,65.0,0,0,370369,7.75,,Q,1,2.0,Mr,1,1,7.75,Senior,Unknown,3_male,20,370369
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S,1,1.0,Mr,2,0,10.5,YoungAdult,Unknown,2_male,31,11668
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,66.3,B58 B60,C,1,0.0,Mr,2,0,33.15,YoungAdult,B,1_male,24,PC 17558
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,,S,0,2.0,Miss,7,0,4.4678571428571425,Child,Unknown,3_female,33,347082
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,66.3,,S,1,1.0,Mr,3,0,22.099999999999998,YoungAdult,Unknown,2_male,27,S.O.C. 14879
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,1,2.0,Mr,1,1,8.05,,Unknown,3_male,26,A4. 54510
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,1,1.0,Mr,2,0,15.0354,YoungAdult,Unknown,2_male,20,237736
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,0,1.0,Miss,1,1,13.0,YoungAdult,E,2_female,19,27267
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,66.3,D26,S,1,0.0,Mr,2,0,33.15,Adult,D,1_male,27,35281
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C,1,2.0,Master,2,0,5.62085,Child,Unknown,3_male,28,2651
127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,1,2.0,Mr,1,1,7.75,,Unknown,3_male,19,370372
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,,S,1,2.0,Mr,1,1,7.1417,YoungAdult,Unknown,3_male,25,C 17369
129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,0,2.0,Miss,3,0,7.452766666666666,,F,3_female,17,2668
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,,S,1,2.0,Mr,1,1,6.975,Adult,Unknown,3_male,18,347061
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C,1,2.0,Mr,1,1,7.8958,YoungAdult,Unknown,3_male,20,349241
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,1,2.0,Mr,1,1,7.05,YoungAdult,Unknown,3_male,30,SOTON/O.Q. 3101307
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,,S,0,2.0,Mrs,2,0,7.25,Adult,Unknown,3_female,46,A/5. 3337
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S,0,1.0,Mrs,2,0,13.0,YoungAdult,Unknown,2_female,45,228414
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S,1,1.0,Mr,1,1,13.0,YoungAdult,Unknown,2_male,30,C.A. 29178
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,,C,1,1.0,Mr,1,1,15.0458,YoungAdult,Unknown,2_male,18,SC/PARIS 2133
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S,0,0.0,Miss,3,0,8.7611,YoungAdult,D,1_female,28,11752
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,1,0.0,Mr,2,0,26.55,Adult,C,1_male,27,113803
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,,S,1,2.0,Mr,1,1,9.2167,Teen,Unknown,3_male,19,7534
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,66.3,B86,C,1,0.0,Mr,1,1,66.3,YoungAdult,B,1_male,18,PC 17593
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,0,2.0,Mrs,3,0,5.081933333333333,,Unknown,3_female,29,2678
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,,S,0,2.0,Miss,1,1,7.75,YoungAdult,Unknown,3_female,24,347081
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,,S,0,2.0,Mrs,2,0,7.925,YoungAdult,Unknown,3_female,52,STON/O2. 3101279
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,,Q,1,2.0,Mr,1,1,6.75,YoungAdult,Unknown,3_male,19,365222
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,,S,1,1.0,Mr,1,1,11.5,Teen,Unknown,2_male,26,231945
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,,S,1,1.0,Mr,3,0,12.25,YoungAdult,Unknown,2_male,28,C.A. 33112
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,S,1,2.0,Mr,1,1,7.7958,YoungAdult,Unknown,3_male,44,350043
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,,S,0,2.0,Miss,5,0,6.875,Child,Unknown,3_female,32,W./C. 6608
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S,1,1.0,Mr,3,0,8.666666666666666,Adult,F,2_male,40,230080
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,,S,1,1.0,Other,1,1,13.0,Adult,Unknown,2_male,33,244310
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,,S,1,1.0,Other,1,1,12.525,Adult,Unknown,2_male,26,S.O.P. 1166
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.3,C2,S,0,0.0,Mrs,2,0,33.15,YoungAdult,C,1_female,33,113776
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,1,2.0,Mr,1,1,8.05,Adult,Unknown,3_male,16,A.5. 11206
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,1,2.0,Mr,3,0,4.833333333333333,Adult,Unknown,3_male,31,A/5. 851
155,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,1,2.0,Mr,1,1,7.3125,,Unknown,3_male,21,Fa 265302
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,,C,1,0.0,Mr,2,0,30.6896,Adult,Unknown,1_male,27,PC 17597
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,,Q,0,2.0,Miss,1,1,7.7333,Teen,Unknown,3_female,32,35851
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,S,1,2.0,Mr,1,1,8.05,YoungAdult,Unknown,3_male,15,SOTON/OQ 392090
159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,1,2.0,Mr,1,1,8.6625,,Unknown,3_male,19,315037
160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,66.3,,S,1,2.0,Master,11,0,6.027272727272727,,Unknown,3_male,26,CA. 2343
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,,S,1,2.0,Mr,2,0,8.05,Adult,Unknown,3_male,24,371362
